 ;;;;; ;;;;;;;
Tabel Positifvity rate Hasil Lab Covid19 - DKI Jakarta;;;;;;;;;;;;
;;;;;;;;;;;;
Tanggal;Tahun;Jumlah orang di tes;Orang Positif Harian;Orang negatif harian;Positif rate kasus baru harian;Total spesimen di tes;Positif;Negatif;Positif rate (specimen harian);;;
30/06/;2021;21.394;7.541;13.853;35,20%;30.353;14.747;15.606;48,60%;;;
;;;;;;;;;;;;
29/06/;2021;22.432;7.680;14.752;34,20%;28.413;13.307;15.106;46,80%;;;
;; ;;;;;;;;;;
28/06/;2021;22.046;7.379;14.667;33,50%;26.888;12.387;14.501;46,10%;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
27/06/;2021;24.295;8.348;15.947;34,40%;25.003;11.005;13.998;44,00%;;;
;; ;;;;;;;;;;
26/06/;2021;24.704;9.394;15.310;38,00%;28.287;12.832;15.455;45,40%;;;
;;;;;;;;;;;;
25/06/;2021;22.911;9.271;13.640;40,50%;31.858;14.904;16.954;46,80%;;;
;; ;;;;;;;;;;
24/06/;2021;20.155;6.934;13.221;34,40%;29.196;12.364;16.832;42,30%;;;
;;;;;;;;;;;;
23/06/;2021;20.460;7.505;12.955;36,70%;26.497;10.898;15.599;41,10%;;;
;; ;;;;;;;;;;
22/06/;2021;19.485;4.693;14.792;24,10%;28.071;11.787;16.284;42,00%;;;
;;;;;;;;;;;;
21/06/;2021;14.462;3.221;11.241;22,30%;21.086;8.291;12.795;39,30%;;;
;; ;;;;;;;;;;
20/06/;2021;15.424;5.014;10.410;32,50%;15.343;5.018;10.325;32,70%;;;
;;;;;;;;;;;;
19/06/;2021;16.636;5.582;11.054;33,60%;18.093;7.381;10.712;40,80%;;;
;; ;;;;;;;;;;
18/06/;2021;16.797;4.895;11.902;29,10%;24.029;8.346;15.683;34,70%;;;
;;;;;;;;;;;;
17/06/;2021;17.368;4.737;12.631;27,30%;24.183;8.222;15.961;34,00%;;;
;; ;;;;;;;;;;
16/06/;2021;16.499;4.144;12.355;25,10%;24.032;7.730;16.302;32,20%;;;
;;;;;;;;;;;;
15/06/;2021;15.269;2.376;12.893;15,60%;21.531;7.283;14.248;33,80%;;;
;; ;;;;;;;;;;
14/06/;2021;8.970;1.502;7.468;16,70%;14.135;4.417;9.718;31,20%;;;
;;;;;;;;;;;;
13/06/;2021;11.671;2.722;8.949;23,30%;10.133;2.384;7.749;23,50%;;;
;; ;;;;;;;;;;
12/06/;2021;11.800;2.769;9.031;23,50%;16.218;4.455;11.763;27,50%;;;
;;;;;;;;;;;;
11/06/;2021;13.443;2.455;10.988;18,30%;17.340;4.560;12.780;26,30%;;;
;; ;;;;;;;;;;
10/06/;2021;13.142;2.293;10.849;17,40%;17.606;4.176;13.430;23,70%;;;
;;;;;;;;;;;;
09/06/;2021;12.304;2.096;10.208;17,00%;17.241;3.852;13.389;22,30%;;;
;; ;;;;;;;;;;
08/06/;2021;11.167;1.376;9.791;12,30%;15.900;3.553;12.347;22,30%;;;
;;;;;;;;;;;;
07/06/;2021;7.237;755;6.482;10,40%;12.963;2.62;10.334;20,30%;;;
;; ;;;;;;;;;;
06/06/;2021;6.698;1.197;5.501;17,90%;8.921;1.340;7.581;15,00%;;;
;;;;;;;;;;;;
05/06/;2021;7.625;1.019;6.606;13,40%;13.465;2.65;10.814;19,70%;;;
;; ;;;;;;;;;;
04/06/;2021;10.605;1.317;9.288;12,40%;14.603;2.062;12.541;14,10%;;;
;;;;;;;;;;;;
